pep_id,tcr_id,label,split
pep9,tcr4567,0,train
pep5,tcr5028,0,train
pep12,tcr4085,0,train
pep14,tcr3807,0,train
pep5,tcr4394,0,train
pep9,tcr4247,0,train
pep12,tcr1150,0,train
pep5,tcr2141,1,train
pep5,tcr3227,0,train
pep14,tcr648,0,train
pep1,tcr557,0,train
pep14,tcr50,0,train
pep0,tcr1068,1,train
pep5,tcr2872,0,train
pep1,tcr434,0,train
pep10,tcr1198,1,train
pep5,tcr3159,0,train
pep10,tcr2791,0,train
pep14,tcr2615,0,train
pep9,tcr4630,0,train
pep12,tcr2878,0,train
pep7,tcr4604,0,train
pep13,tcr745,0,train
pep11,tcr1500,0,train
pep1,tcr986,0,train
pep16,tcr2304,0,train
pep9,tcr3489,0,train
pep0,tcr156,0,train
pep5,tcr1268,0,train
pep1,tcr3738,0,train
pep9,tcr4171,1,train
pep14,tcr4169,0,train
pep13,tcr3573,0,train
pep13,tcr4797,0,train
pep13,tcr4948,0,train
pep3,tcr1500,1,train
pep13,tcr1630,0,train
pep7,tcr2150,0,train
pep14,tcr4318,0,train
pep16,tcr2481,0,train
pep13,tcr3267,0,train
pep10,tcr1177,0,train
pep13,tcr3238,0,train
pep8,tcr2935,0,train
pep4,tcr3542,0,train
pep12,tcr2613,0,train
pep14,tcr4068,0,train
pep10,tcr4345,0,train
pep14,tcr2053,0,train
pep5,tcr1806,0,train
pep14,tcr3826,1,train
pep2,tcr4656,1,train
pep8,tcr1068,0,train
pep9,tcr871,0,train
pep16,tcr2057,0,train
pep2,tcr1587,0,train
pep10,tcr1413,0,train
pep2,tcr5369,0,train
pep12,tcr690,0,train
pep0,tcr358,1,train
pep9,tcr2768,0,train
pep13,tcr4230,1,train
pep14,tcr5015,0,train
pep12,tcr144,0,train
pep5,tcr4230,0,train
pep10,tcr986,0,train
pep5,tcr4245,0,train
pep12,tcr4717,0,train
pep3,tcr2425,0,train
pep13,tcr701,0,train
pep1,tcr1506,0,train
pep16,tcr2993,1,train
pep7,tcr2755,0,train
pep9,tcr2829,0,train
pep13,tcr5049,0,train
pep10,tcr2617,0,train
pep14,tcr5434,0,train
pep10,tcr3684,0,train
pep2,tcr2915,0,train
pep13,tcr314,0,train
pep15,tcr91,0,train
pep10,tcr3047,1,train
pep16,tcr1702,0,train
pep14,tcr1702,0,train
pep16,tcr2543,0,train
pep0,tcr4510,0,train
pep13,tcr4856,0,train
pep13,tcr5280,0,train
pep13,tcr3067,0,train
pep8,tcr4794,0,train
pep5,tcr2615,0,train
pep14,tcr5404,0,train
pep12,tcr1838,0,train
pep9,tcr3834,0,train
pep5,tcr3702,1,train
pep1,tcr4235,0,train
pep12,tcr847,1,train
pep5,tcr5318,0,train
pep13,tcr1906,0,train
pep3,tcr388,0,train
pep2,tcr4853,1,train
pep14,tcr706,0,train
pep12,tcr4567,0,train
pep5,tcr150,0,train
pep16,tcr5430,1,train
pep5,tcr1916,0,train
pep14,tcr2855,0,train
pep1,tcr2450,0,train
pep16,tcr1128,0,train
pep2,tcr2750,0,train
pep14,tcr2755,0,train
pep1,tcr1630,0,train
pep13,tcr4501,0,train
pep6,tcr4501,1,train
pep9,tcr2855,1,train
pep13,tcr871,0,train
pep14,tcr4532,0,train
pep16,tcr479,0,train
pep1,tcr957,0,train
pep13,tcr3440,1,train
pep9,tcr2849,0,train
pep14,tcr3894,0,train
pep0,tcr2088,1,train
pep16,tcr3500,0,train
pep4,tcr470,1,train
pep7,tcr1656,0,train
pep13,tcr2768,1,train
pep11,tcr769,0,train
pep3,tcr4806,0,train
pep0,tcr2613,1,train
pep13,tcr1803,0,train
pep12,tcr4212,0,train
pep9,tcr1241,0,train
pep16,tcr701,1,train
pep3,tcr310,0,train
pep0,tcr3811,0,train
pep3,tcr91,0,train
pep0,tcr719,0,train
pep16,tcr91,0,train
pep0,tcr3421,1,train
pep13,tcr3499,0,train
pep8,tcr1656,0,train
pep12,tcr3337,0,train
pep2,tcr4843,1,train
pep13,tcr1458,0,train
pep14,tcr3821,0,train
pep8,tcr388,0,train
pep0,tcr2843,0,train
pep14,tcr91,0,train
pep9,tcr2791,0,train
pep9,tcr992,0,train
pep0,tcr438,0,train
pep0,tcr4649,1,train
pep9,tcr470,0,train
pep13,tcr3571,0,train
pep8,tcr957,1,train
pep13,tcr1073,0,train
pep10,tcr4998,0,train
pep0,tcr1845,0,train
pep14,tcr3717,0,train
pep9,tcr1186,0,train
pep9,tcr4068,0,train
pep12,tcr2968,0,train
pep9,tcr4212,0,train
pep9,tcr5434,0,train
pep1,tcr468,1,train
pep0,tcr353,0,train
pep5,tcr5099,1,train
pep8,tcr2617,0,train
pep8,tcr4396,0,train
pep1,tcr141,0,train
pep5,tcr3420,0,train
pep16,tcr1261,0,train
pep2,tcr1061,1,train
pep10,tcr201,0,train
pep14,tcr2919,1,train
pep9,tcr288,0,train
pep8,tcr3687,0,train
pep9,tcr3562,0,train
pep10,tcr1418,0,train
pep15,tcr3841,0,train
pep5,tcr959,0,train
pep3,tcr4544,0,train
pep13,tcr1877,0,train
pep6,tcr1383,0,train
pep5,tcr2791,0,train
pep9,tcr5454,0,train
pep14,tcr3532,0,train
pep7,tcr1766,0,train
pep9,tcr1034,1,train
pep13,tcr1334,0,train
pep5,tcr1002,0,train
pep10,tcr1253,0,train
pep13,tcr3972,1,train
pep5,tcr3687,0,train
pep9,tcr4319,1,train
pep14,tcr2610,0,train
pep14,tcr4501,0,train
pep5,tcr648,0,train
pep3,tcr5454,0,train
pep8,tcr4212,0,train
pep4,tcr3979,1,train
pep5,tcr3841,0,train
pep9,tcr2226,0,train
pep0,tcr2814,0,train
pep0,tcr3532,0,train
pep14,tcr3420,0,train
pep10,tcr4169,0,train
pep8,tcr2602,0,train
pep14,tcr4759,0,train
pep3,tcr4501,0,train
pep1,tcr1889,0,train
pep10,tcr2562,0,train
pep1,tcr760,0,train
pep9,tcr3227,0,train
pep3,tcr1234,0,train
